placeDcid,placeName,Date:Count_Person_Producer_WhiteAlone,Value:Count_Person_Producer_WhiteAlone,Source:Count_Person_Producer_WhiteAlone,Date:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Value:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Source:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Date:Count_Person_Producer_HispanicOrLatino,Value:Count_Person_Producer_HispanicOrLatino,Source:Count_Person_Producer_HispanicOrLatino,Date:Count_Person_Producer_AsianAlone,Value:Count_Person_Producer_AsianAlone,Source:Count_Person_Producer_AsianAlone,Date:Count_Person_Producer_BlackOrAfricanAmericanAlone,Value:Count_Person_Producer_BlackOrAfricanAmericanAlone,Source:Count_Person_Producer_BlackOrAfricanAmericanAlone
geoId/01,Alabama,2017,59062,https://www.nass.usda.gov/AgCensus/,2017,17,https://www.nass.usda.gov/AgCensus/,2017,566,https://www.nass.usda.gov/AgCensus/,2017,139,https://www.nass.usda.gov/AgCensus/,2017,4140,https://www.nass.usda.gov/AgCensus/
geoId/02,Alaska,2017,1604,https://www.nass.usda.gov/AgCensus/,,,,2017,38,https://www.nass.usda.gov/AgCensus/,2017,13,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/
geoId/04,Arizona,2017,13011,https://www.nass.usda.gov/AgCensus/,2017,90,https://www.nass.usda.gov/AgCensus/,2017,1482,https://www.nass.usda.gov/AgCensus/,2017,122,https://www.nass.usda.gov/AgCensus/,2017,54,https://www.nass.usda.gov/AgCensus/
geoId/05,Arkansas,2017,68308,https://www.nass.usda.gov/AgCensus/,2017,10,https://www.nass.usda.gov/AgCensus/,2017,1065,https://www.nass.usda.gov/AgCensus/,2017,616,https://www.nass.usda.gov/AgCensus/,2017,1463,https://www.nass.usda.gov/AgCensus/
geoId/06,California,2017,113717,https://www.nass.usda.gov/AgCensus/,2017,487,https://www.nass.usda.gov/AgCensus/,2017,14597,https://www.nass.usda.gov/AgCensus/,2017,6651,https://www.nass.usda.gov/AgCensus/,2017,429,https://www.nass.usda.gov/AgCensus/
geoId/08,Colorado,2017,67431,https://www.nass.usda.gov/AgCensus/,2017,70,https://www.nass.usda.gov/AgCensus/,2017,3765,https://www.nass.usda.gov/AgCensus/,2017,374,https://www.nass.usda.gov/AgCensus/,2017,96,https://www.nass.usda.gov/AgCensus/
geoId/09,Connecticut,2017,9392,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/,2017,134,https://www.nass.usda.gov/AgCensus/,2017,44,https://www.nass.usda.gov/AgCensus/,2017,25,https://www.nass.usda.gov/AgCensus/
geoId/10,Delaware,2017,3811,https://www.nass.usda.gov/AgCensus/,,,,2017,33,https://www.nass.usda.gov/AgCensus/,2017,55,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/
geoId/12,Florida,2017,73864,https://www.nass.usda.gov/AgCensus/,2017,112,https://www.nass.usda.gov/AgCensus/,2017,7121,https://www.nass.usda.gov/AgCensus/,2017,1384,https://www.nass.usda.gov/AgCensus/,2017,2299,https://www.nass.usda.gov/AgCensus/
geoId/13,Georgia,2017,64202,https://www.nass.usda.gov/AgCensus/,2017,30,https://www.nass.usda.gov/AgCensus/,2017,922,https://www.nass.usda.gov/AgCensus/,2017,461,https://www.nass.usda.gov/AgCensus/,2017,2773,https://www.nass.usda.gov/AgCensus/
geoId/15,Hawaii,2017,6302,https://www.nass.usda.gov/AgCensus/,2017,1121,https://www.nass.usda.gov/AgCensus/,2017,767,https://www.nass.usda.gov/AgCensus/,2017,3219,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/
geoId/16,Idaho,2017,43673,https://www.nass.usda.gov/AgCensus/,2017,27,https://www.nass.usda.gov/AgCensus/,2017,1258,https://www.nass.usda.gov/AgCensus/,2017,106,https://www.nass.usda.gov/AgCensus/,2017,11,https://www.nass.usda.gov/AgCensus/
geoId/17,Illinois,2017,115605,https://www.nass.usda.gov/AgCensus/,2017,21,https://www.nass.usda.gov/AgCensus/,2017,934,https://www.nass.usda.gov/AgCensus/,2017,160,https://www.nass.usda.gov/AgCensus/,2017,229,https://www.nass.usda.gov/AgCensus/
geoId/18,Indiana,2017,93702,https://www.nass.usda.gov/AgCensus/,2017,20,https://www.nass.usda.gov/AgCensus/,2017,753,https://www.nass.usda.gov/AgCensus/,2017,102,https://www.nass.usda.gov/AgCensus/,2017,134,https://www.nass.usda.gov/AgCensus/
geoId/19,Iowa,2017,142905,https://www.nass.usda.gov/AgCensus/,2017,21,https://www.nass.usda.gov/AgCensus/,2017,737,https://www.nass.usda.gov/AgCensus/,2017,151,https://www.nass.usda.gov/AgCensus/,2017,72,https://www.nass.usda.gov/AgCensus/
geoId/20,Kansas,2017,94921,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/,2017,1253,https://www.nass.usda.gov/AgCensus/,2017,107,https://www.nass.usda.gov/AgCensus/,2017,228,https://www.nass.usda.gov/AgCensus/
geoId/21,Kentucky,2017,122505,https://www.nass.usda.gov/AgCensus/,2017,41,https://www.nass.usda.gov/AgCensus/,2017,789,https://www.nass.usda.gov/AgCensus/,2017,140,https://www.nass.usda.gov/AgCensus/,2017,585,https://www.nass.usda.gov/AgCensus/
geoId/22,Louisiana,2017,39956,https://www.nass.usda.gov/AgCensus/,2017,20,https://www.nass.usda.gov/AgCensus/,2017,910,https://www.nass.usda.gov/AgCensus/,2017,83,https://www.nass.usda.gov/AgCensus/,2017,3126,https://www.nass.usda.gov/AgCensus/
geoId/23,Maine,2017,13086,https://www.nass.usda.gov/AgCensus/,2017,8,https://www.nass.usda.gov/AgCensus/,2017,124,https://www.nass.usda.gov/AgCensus/,2017,33,https://www.nass.usda.gov/AgCensus/,2017,146,https://www.nass.usda.gov/AgCensus/
geoId/24,Maryland,2017,20512,https://www.nass.usda.gov/AgCensus/,2017,19,https://www.nass.usda.gov/AgCensus/,2017,267,https://www.nass.usda.gov/AgCensus/,2017,288,https://www.nass.usda.gov/AgCensus/,2017,277,https://www.nass.usda.gov/AgCensus/
geoId/25,Massachusetts,2017,12402,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/,2017,207,https://www.nass.usda.gov/AgCensus/,2017,95,https://www.nass.usda.gov/AgCensus/,2017,166,https://www.nass.usda.gov/AgCensus/
geoId/26,Michigan,2017,78010,https://www.nass.usda.gov/AgCensus/,2017,8,https://www.nass.usda.gov/AgCensus/,2017,1024,https://www.nass.usda.gov/AgCensus/,2017,155,https://www.nass.usda.gov/AgCensus/,2017,342,https://www.nass.usda.gov/AgCensus/
geoId/27,Minnesota,2017,110824,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/,2017,651,https://www.nass.usda.gov/AgCensus/,2017,399,https://www.nass.usda.gov/AgCensus/,2017,39,https://www.nass.usda.gov/AgCensus/
geoId/28,Mississippi,2017,47490,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/,2017,551,https://www.nass.usda.gov/AgCensus/,2017,151,https://www.nass.usda.gov/AgCensus/,2017,6927,https://www.nass.usda.gov/AgCensus/
geoId/29,Missouri,2017,158212,https://www.nass.usda.gov/AgCensus/,2017,44,https://www.nass.usda.gov/AgCensus/,2017,1407,https://www.nass.usda.gov/AgCensus/,2017,498,https://www.nass.usda.gov/AgCensus/,2017,207,https://www.nass.usda.gov/AgCensus/
geoId/30,Montana,2017,44921,https://www.nass.usda.gov/AgCensus/,2017,30,https://www.nass.usda.gov/AgCensus/,2017,474,https://www.nass.usda.gov/AgCensus/,2017,83,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/
geoId/31,Nebraska,2017,76801,https://www.nass.usda.gov/AgCensus/,2017,11,https://www.nass.usda.gov/AgCensus/,2017,540,https://www.nass.usda.gov/AgCensus/,2017,40,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/
geoId/32,Nevada,2017,5597,https://www.nass.usda.gov/AgCensus/,,,,2017,322,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/,2017,9,https://www.nass.usda.gov/AgCensus/
geoId/33,New Hampshire,2017,7072,https://www.nass.usda.gov/AgCensus/,,,,2017,68,https://www.nass.usda.gov/AgCensus/,2017,14,https://www.nass.usda.gov/AgCensus/,2017,38,https://www.nass.usda.gov/AgCensus/
geoId/34,New Jersey,2017,16113,https://www.nass.usda.gov/AgCensus/,2017,4,https://www.nass.usda.gov/AgCensus/,2017,465,https://www.nass.usda.gov/AgCensus/,2017,248,https://www.nass.usda.gov/AgCensus/,2017,76,https://www.nass.usda.gov/AgCensus/
geoId/35,New Mexico,2017,31768,https://www.nass.usda.gov/AgCensus/,2017,29,https://www.nass.usda.gov/AgCensus/,2017,12212,https://www.nass.usda.gov/AgCensus/,2017,156,https://www.nass.usda.gov/AgCensus/,2017,60,https://www.nass.usda.gov/AgCensus/
geoId/36,New York,2017,57155,https://www.nass.usda.gov/AgCensus/,2017,40,https://www.nass.usda.gov/AgCensus/,2017,606,https://www.nass.usda.gov/AgCensus/,2017,166,https://www.nass.usda.gov/AgCensus/,2017,139,https://www.nass.usda.gov/AgCensus/
geoId/37,North Carolina,2017,70504,https://www.nass.usda.gov/AgCensus/,2017,18,https://www.nass.usda.gov/AgCensus/,2017,769,https://www.nass.usda.gov/AgCensus/,2017,418,https://www.nass.usda.gov/AgCensus/,2017,2041,https://www.nass.usda.gov/AgCensus/
geoId/38,North Dakota,2017,41389,https://www.nass.usda.gov/AgCensus/,2017,7,https://www.nass.usda.gov/AgCensus/,2017,225,https://www.nass.usda.gov/AgCensus/,2017,21,https://www.nass.usda.gov/AgCensus/,2017,8,https://www.nass.usda.gov/AgCensus/
geoId/39,Ohio,2017,127576,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/,2017,954,https://www.nass.usda.gov/AgCensus/,2017,187,https://www.nass.usda.gov/AgCensus/,2017,193,https://www.nass.usda.gov/AgCensus/
geoId/40,Oklahoma,2017,110035,https://www.nass.usda.gov/AgCensus/,2017,60,https://www.nass.usda.gov/AgCensus/,2017,2621,https://www.nass.usda.gov/AgCensus/,2017,490,https://www.nass.usda.gov/AgCensus/,2017,1769,https://www.nass.usda.gov/AgCensus/
geoId/41,Oregon,2017,65364,https://www.nass.usda.gov/AgCensus/,2017,112,https://www.nass.usda.gov/AgCensus/,2017,2083,https://www.nass.usda.gov/AgCensus/,2017,644,https://www.nass.usda.gov/AgCensus/,2017,64,https://www.nass.usda.gov/AgCensus/
geoId/42,Pennsylvania,2017,89843,https://www.nass.usda.gov/AgCensus/,2017,23,https://www.nass.usda.gov/AgCensus/,2017,759,https://www.nass.usda.gov/AgCensus/,2017,103,https://www.nass.usda.gov/AgCensus/,2017,80,https://www.nass.usda.gov/AgCensus/
geoId/44,Rhode Island,2017,1764,https://www.nass.usda.gov/AgCensus/,,,,2017,15,https://www.nass.usda.gov/AgCensus/,2017,9,https://www.nass.usda.gov/AgCensus/,2017,13,https://www.nass.usda.gov/AgCensus/
geoId/45,South Carolina,2017,35876,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/,2017,423,https://www.nass.usda.gov/AgCensus/,2017,114,https://www.nass.usda.gov/AgCensus/,2017,2570,https://www.nass.usda.gov/AgCensus/
geoId/46,South Dakota,2017,47600,https://www.nass.usda.gov/AgCensus/,2017,11,https://www.nass.usda.gov/AgCensus/,2017,289,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/,2017,13,https://www.nass.usda.gov/AgCensus/
geoId/47,Tennessee,2017,111050,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/,2017,1205,https://www.nass.usda.gov/AgCensus/,2017,211,https://www.nass.usda.gov/AgCensus/,2017,1372,https://www.nass.usda.gov/AgCensus/
geoId/48,Texas,2017,389193,https://www.nass.usda.gov/AgCensus/,2017,179,https://www.nass.usda.gov/AgCensus/,2017,41143,https://www.nass.usda.gov/AgCensus/,2017,1691,https://www.nass.usda.gov/AgCensus/,2017,11268,https://www.nass.usda.gov/AgCensus/
geoId/49,Utah,2017,30835,https://www.nass.usda.gov/AgCensus/,2017,32,https://www.nass.usda.gov/AgCensus/,2017,558,https://www.nass.usda.gov/AgCensus/,2017,100,https://www.nass.usda.gov/AgCensus/,2017,8,https://www.nass.usda.gov/AgCensus/
geoId/50,Vermont,2017,12148,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/,2017,124,https://www.nass.usda.gov/AgCensus/,2017,14,https://www.nass.usda.gov/AgCensus/,2017,17,https://www.nass.usda.gov/AgCensus/
geoId/51,Virginia,2017,68053,https://www.nass.usda.gov/AgCensus/,2017,32,https://www.nass.usda.gov/AgCensus/,2017,845,https://www.nass.usda.gov/AgCensus/,2017,259,https://www.nass.usda.gov/AgCensus/,2017,1693,https://www.nass.usda.gov/AgCensus/
geoId/53,Washington,2017,60821,https://www.nass.usda.gov/AgCensus/,2017,78,https://www.nass.usda.gov/AgCensus/,2017,2947,https://www.nass.usda.gov/AgCensus/,2017,866,https://www.nass.usda.gov/AgCensus/,2017,90,https://www.nass.usda.gov/AgCensus/
geoId/54,West Virginia,2017,37730,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/,2017,388,https://www.nass.usda.gov/AgCensus/,2017,53,https://www.nass.usda.gov/AgCensus/,2017,35,https://www.nass.usda.gov/AgCensus/
geoId/55,Wisconsin,2017,109383,https://www.nass.usda.gov/AgCensus/,2017,22,https://www.nass.usda.gov/AgCensus/,2017,649,https://www.nass.usda.gov/AgCensus/,2017,512,https://www.nass.usda.gov/AgCensus/,2017,73,https://www.nass.usda.gov/AgCensus/
geoId/56,Wyoming,2017,21246,https://www.nass.usda.gov/AgCensus/,2017,4,https://www.nass.usda.gov/AgCensus/,2017,412,https://www.nass.usda.gov/AgCensus/,2017,23,https://www.nass.usda.gov/AgCensus/,2017,13,https://www.nass.usda.gov/AgCensus/
